source	target	edge
Heat-752	stirring speed	has_property
Heat-752-stirring speed	400.0 rpm	has_value
Heat-752	heating time	has_property
Heat-752-heating time	5.0 min	has_value
Heat-752	temperature stabilization time	has_property
Heat-752-temperature stabilization time	5min	has_value
Heat-752	maximum temperature deviation	has_property
Heat-752-maximum temperature deviation	2C	has_value
Heat-752	cooldown temperature	has_property
Heat-752-cooldown temperature	40C	has_value
Heat-752	active cooling	has_property
Heat-752-active cooling	True	has_value
Heat-752	temperature sensor	has_property
Heat-752-temperature sensor	EXTERNAL	has_value
Heat-752	robot arm	has_property
Heat-752-robot arm	None	has_value
Sonicate-798	container	has_property
Sonicate-798-container	Reaction_Flask_50_mL	has_value
Sonicate-798	sonicator	has_property
Sonicate-798-sonicator	None	has_value
Sonicate-798	sonication time	has_property
Sonicate-798-sonication time	10.0 min	has_value
Sonicate-798	sonication power	has_property
Sonicate-798-sonication power	50.0	has_value
Sonicate-798	sonication amplitude	has_property
Sonicate-798-sonication amplitude	50.0	has_value
Sonicate-798	sonication temperature	has_property
Sonicate-798-sonication temperature	20C	has_value
Sonicate-798	bottom clearance	has_property
Sonicate-798-bottom clearance	None	has_value
Sonicate-798	container for cleaning	has_property
Sonicate-798-container for cleaning	None	has_value
Sonicate-798	robot arm	has_property
Sonicate-798-robot arm	None	has_value
Sonicate-798	capper decapper	has_property
Sonicate-798-capper decapper	None	has_value
Add Chemical-844	container	has_property
Add Chemical-844-container	Reaction_Flask_50_mL	has_value
Add Chemical-844	chemical	has_property
Add Chemical-844-chemical	acetic acid;4,4'-(anthracene-9,10-diyl)dibenzoic acid	has_value
Add Chemical-844	withdraw rate	has_property
Add Chemical-844-withdraw rate	None	has_value
Add Chemical-844	addition rate	has_property
Add Chemical-844-addition rate	None	has_value
Add Chemical-844	robot arm	has_property
Add Chemical-844-robot arm	None	has_value
Add Chemical-844	capper decapper	has_property
Add Chemical-844-capper decapper	None	has_value
Add Chemical-844	return container after addition	has_property
Add Chemical-844-return container after addition	False	has_value
Add Chemical-844	return chemicals after addition	has_property
Add Chemical-844-return chemicals after addition	True	has_value
Add Chemical-844	bottom clearance	has_property
Add Chemical-844-bottom clearance	None	has_value
Add Chemical-844	purging volume	has_property
Add Chemical-844-purging volume	30mL	has_value
Add Chemical-844	purging addition rate	has_property
Add Chemical-844-purging addition rate	None	has_value
Add Chemical-844	purging port	has_property
Add Chemical-844-purging port	None	has_value
Add Chemical-844	priming volume	has_property
Add Chemical-844-priming volume	None	has_value
Add Chemical-844	priming waste container	has_property
Add Chemical-844-priming waste container	None	has_value
Chemical-acetic acid-906	container	has_property
Chemical-acetic acid-906-container	Acetic_Acid_Container	has_value
Chemical-acetic acid-906	lookup missing values	has_property
Chemical-acetic acid-906-lookup missing values	True	has_value
Chemical-acetic acid-906	name	has_property
Chemical-acetic acid-906-name	acetic acid	has_value
Chemical-acetic acid-906	lot number	has_property
Chemical-acetic acid-906-lot number		has_value
Chemical-acetic acid-906	supplier	has_property
Chemical-acetic acid-906-supplier		has_value
Chemical-acetic acid-906	cas	has_property
Chemical-acetic acid-906-cas		has_value
Chemical-acetic acid-906	smiles	has_property
Chemical-acetic acid-906-smiles		has_value
Chemical-acetic acid-906	density	has_property
Chemical-acetic acid-906-density	None	has_value
Chemical-acetic acid-906	molar mass	has_property
Chemical-acetic acid-906-molar mass	None	has_value
Chemical-acetic acid-906	mass	has_property
Chemical-acetic acid-906-mass	None	has_value
Chemical-acetic acid-906	molar amount	has_property
Chemical-acetic acid-906-molar amount	17.0 mmol	has_value
Chemical-acetic acid-906	concentration	has_property
Chemical-acetic acid-906-concentration	None	has_value
Chemical-acetic acid-906	mass concentration	has_property
Chemical-acetic acid-906-mass concentration	None	has_value
Chemical-acetic acid-906	volume	has_property
Chemical-acetic acid-906-volume	980.0 uL	has_value
Chemical-acetic acid-906	is stock solution	has_property
Chemical-acetic acid-906-is stock solution	False	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	container	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-container	DAP_Container	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	lookup missing values	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-lookup missing values	True	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	name	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-name	4,4'-(anthracene-9,10-diyl)dibenzoic acid	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	lot number	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-lot number		has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	supplier	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-supplier		has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	cas	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-cas		has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	smiles	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-smiles		has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	density	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-density	None	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	molar mass	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-molar mass	None	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	mass	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-mass	0.036 g	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	molar amount	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-molar amount	0.086 mmol	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	concentration	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-concentration	None	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	mass concentration	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-mass concentration	10 mg/mL	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	volume	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-volume	None	has_value
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	is stock solution	has_property
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972-is stock solution	False	has_value
Heat-1038	container	has_property
Heat-1038-container	Reaction_Flask_50_mL	has_value
Heat-1038	heating temperature	has_property
Heat-1038-heating temperature	120.0 C	has_value
Heat-1038	stirring speed	has_property
Heat-1038-stirring speed	300.0 rpm	has_value
Heat-1038	heating time	has_property
Heat-1038-heating time	24.0 h	has_value
Heat-1038	temperature stabilization time	has_property
Heat-1038-temperature stabilization time	5min	has_value
Heat-1038	maximum temperature deviation	has_property
Heat-1038-maximum temperature deviation	2C	has_value
Heat-1038	cooldown temperature	has_property
Heat-1038-cooldown temperature	40C	has_value
Heat-1038	active cooling	has_property
Heat-1038-active cooling	True	has_value
Heat-1038	temperature sensor	has_property
Heat-1038-temperature sensor	EXTERNAL	has_value
Heat-1038	robot arm	has_property
Heat-1038-robot arm	None	has_value
Heat-1084	container	has_property
Heat-1084-container	Reaction_Flask_50_mL	has_value
Heat-1084	heating temperature	has_property
Heat-1084-heating temperature	25.0 C	has_value
Heat-1084	stirring speed	has_property
Heat-1084-stirring speed	300.0 rpm	has_value
Heat-1084	heating time	has_property
Heat-1084-heating time	5.0 min	has_value
Heat-1084	temperature stabilization time	has_property
Heat-1084-temperature stabilization time	5min	has_value
Heat-1084	maximum temperature deviation	has_property
Heat-1084-maximum temperature deviation	2C	has_value
Heat-1084	cooldown temperature	has_property
Heat-1084-cooldown temperature	40C	has_value
Heat-1084	active cooling	has_property
Heat-1084-active cooling	True	has_value
Heat-1084	temperature sensor	has_property
Heat-1084-temperature sensor	EXTERNAL	has_value
Heat-1084	robot arm	has_property
Heat-1084-robot arm	None	has_value
Centrifuge-1130	container	has_property
Centrifuge-1130-container	Reaction_Flask_50_mL	has_value
Centrifuge-1130	containers	has_property
Centrifuge-1130-containers	Centrifuge_Tube_50mL;Centrifuge_Tube_50mL_Counterweight	has_value
Centrifuge-1130	centrifugation speed	has_property
Centrifuge-1130-centrifugation speed	8000.0 rpm	has_value
Centrifuge-1130	centrifugation time	has_property
Centrifuge-1130-centrifugation time	15.0 min	has_value
Centrifuge-1130	centrifugation temperature	has_property
Centrifuge-1130-centrifugation temperature	25.0 C	has_value
Centrifuge-1130	bottom clearance withdrawing	has_property
Centrifuge-1130-bottom clearance withdrawing	3	has_value
Centrifuge-1130	dropoff location	has_property
Centrifuge-1130-dropoff location	None	has_value
Centrifuge-1130	robot arm	has_property
Centrifuge-1130-robot arm	None	has_value
Centrifuge-1130	centrifuge	has_property
Centrifuge-1130-centrifuge	None	has_value
Centrifuge-1130	transfer hardware	has_property
Centrifuge-1130-transfer hardware	None	has_value
Centrifuge-1130	capper decapper	has_property
Centrifuge-1130-capper decapper	None	has_value
Remove Supernatant And Redisperse-1180	container	has_property
Remove Supernatant And Redisperse-1180-container	Centrifuge_Tube_50mL	has_value
Remove Supernatant And Redisperse-1180	waste container	has_property
Remove Supernatant And Redisperse-1180-waste container	waste_container_valve1	has_value
Remove Supernatant And Redisperse-1180	redispersion chemical	has_property
Remove Supernatant And Redisperse-1180-redispersion chemical	DMF	has_value
Remove Supernatant And Redisperse-1180	sonicator	has_property
Remove Supernatant And Redisperse-1180-sonicator	None	has_value
Remove Supernatant And Redisperse-1180	sonication time	has_property
Remove Supernatant And Redisperse-1180-sonication time	10min	has_value
Remove Supernatant And Redisperse-1180	sonication power	has_property
Remove Supernatant And Redisperse-1180-sonication power	50.0	has_value
Remove Supernatant And Redisperse-1180	sonication amplitude	has_property
Remove Supernatant And Redisperse-1180-sonication amplitude	50.0	has_value
Remove Supernatant And Redisperse-1180	sonication temperature	has_property
Remove Supernatant And Redisperse-1180-sonication temperature	20C	has_value
Remove Supernatant And Redisperse-1180	container for cleaning	has_property
Remove Supernatant And Redisperse-1180-container for cleaning	None	has_value
