source	target	edge
Container-DMF_Container_Falcon_Tube	Chemical-DMF-686	contains_chemical
Chemical-DMF-686	Container-DMF_Container_Falcon_Tube	is_contained_in
Container-Acetic_Acid_Container	Chemical-acetic acid-906	contains_chemical
Chemical-acetic acid-906	Container-Acetic_Acid_Container	is_contained_in
Container-DAP_Container	Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	contains_chemical
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	Container-DAP_Container	is_contained_in
Container-DMF_Container	Chemical-DMF-1246	contains_chemical
Chemical-DMF-1246	Container-DMF_Container	is_contained_in
Container-Centrifuge_Tube_50mL	Centrifuge-1130	is_used_by
Centrifuge-1130	Container-Centrifuge_Tube_50mL	uses_material_from
Container-Centrifuge_Tube_50mL_Counterweight	Centrifuge-1130	is_used_by
Centrifuge-1130	Container-Centrifuge_Tube_50mL_Counterweight	uses_material_from
Centrifuge-1130	Remove Supernatant And Redisperse-1180	is_used_by
Remove Supernatant And Redisperse-1180	Centrifuge-1130	uses_material_from
Container-waste_container_valve1	Remove Supernatant And Redisperse-1180	is_used_by
Remove Supernatant And Redisperse-1180	Container-waste_container_valve1	uses_material_from
centrifugation_speed	Quantity	is_a
molar_mass	str	is_a
volume	str	is_a
priming_volume	float	is_a
heating_time	Quantity	is_a
is_stock_solution	bool	is_a
sonication_time	str	is_a
dropoff_location	Hardware	is_a
centrifugation_temperature	str	is_a
centrifugation_speed	float	is_a
withdraw_rate	FlowRate	is_a
value	float	is_a
heating_temperature	Quantity	is_a
volume	Volume	is_a
active_cooling	bool	is_a
sonication_temperature	Temperature	is_a
return_chemicals_after_addition	bool	is_a
container_type	tuple	is_a
purging_port	int	is_a
capper_decapper	Hardware	is_a
bottom_clearance_withdrawing	float	is_a
maximum_temperature_deviation	Quantity	is_a
transfer_hardware	AdditionHardware	is_a
heating_temperature	float	is_a
addition_rate	str	is_a
temperature_stabilization_time	Quantity	is_a
withdraw_rate	float	is_a
cooldown_temperature	str	is_a
sonication_power	float	is_a
bottom_clearance_withdrawing	int	is_a
maximum_temperature_deviation	float	is_a
centrifugation_time	Quantity	is_a
temperature_stabilization_time	float	is_a
deck_position	int	is_a
dropoff_location	int	is_a
smiles	str	is_a
density	str	is_a
lot_number	str	is_a
sonication_temperature	Quantity	is_a
withdraw_rate	str	is_a
container_type	ContainerDescription	is_a
lookup_missing_values	bool	is_a
purging_addition_rate	FlowRate	is_a
concentration	Concentration	is_a
cooldown_temperature	Temperature	is_a
heating_time	Time	is_a
sonication_time	Quantity	is_a
molar_mass	MolarMass	is_a
mass	str	is_a
max_volume	str	is_a
sonication_temperature	float	is_a
waste_container	Container	is_a
hardware_type	HardwareTypeDefinitions	is_a
purging_volume	Quantity	is_a
transfer_hardware	Hardware	is_a
heating_time	float	is_a
sonicator	SonicatorHardware	is_a
stirring_speed	str	is_a
is_currently_active	Event	is_a
purging_addition_rate	Quantity	is_a
supplier	str	is_a
robot_arm	RobotArmHardware	is_a
sonicator	Hardware	is_a
is_stock_solution	int	is_a
priming_volume	str	is_a
purging_volume	float	is_a
mass_concentration	Quantity	is_a
lookup_missing_values	int	is_a
hardware_type	Enum	is_a
concentration	str	is_a
max_volume	Volume	is_a
current_volume	Quantity	is_a
molar_amount	str	is_a
centrifugation_speed	str	is_a
bottom_clearance_dispensing	float	is_a
centrifugation_temperature	Temperature	is_a
container_for_cleaning	Container	is_a
heating_time	str	is_a
active_cooling	int	is_a
addition_rate	Quantity	is_a
temperature_stabilization_time	Time	is_a
return_chemicals_after_addition	int	is_a
priming_volume	Volume	is_a
priming_waste_container	Container	is_a
is_capped	bool	is_a
bottom_clearance_dispensing	int	is_a
molar_amount	MolarAmount	is_a
density	Density	is_a
sonication_amplitude	float	is_a
centrifugation_time	Time	is_a
mass_concentration	MassConcentration	is_a
bottom_clearance_sonication	int	is_a
heating_temperature	str	is_a
centrifugation_time	float	is_a
unit	str	is_a
molar_mass	Quantity	is_a
current_hardware	Hardware	is_a
volume	Quantity	is_a
maximum_temperature_deviation	str	is_a
purging_volume	Volume	is_a
cas	str	is_a
has_stirbar	bool	is_a
temperature_stabilization_time	str	is_a
centrifugation_temperature	Quantity	is_a
sonication_time	Time	is_a
redispersion_chemical	Chemical	is_a
name	str	is_a
sonication_time	float	is_a
centrifugation_time	str	is_a
centrifuge	Hardware	is_a
heating_temperature	Temperature	is_a
centrifuge	CentrifugeHardware	is_a
addition_rate	FlowRate	is_a
purging_addition_rate	float	is_a
container	Container	is_a
sonication_temperature	str	is_a
maximum_temperature_deviation	Temperature	is_a
containers	Ellipsis	is_a
bottom_clearance_sonication	float	is_a
cooldown_temperature	Quantity	is_a
bottom_clearance	float	is_a
mass	Mass	is_a
robot_arm	Hardware	is_a
containers	Container	is_a
purging_volume	str	is_a
return_container_after_addition	bool	is_a
dropoff_location	SampleHolderHardware	is_a
addition_rate	float	is_a
purging_addition_rate	str	is_a
cooldown_temperature	float	is_a
temperature_sensor	str	is_a
density	Quantity	is_a
mass_concentration	str	is_a
stirring_speed	RotationSpeed	is_a
is_capped	int	is_a
withdraw_rate	Quantity	is_a
current_volume	str	is_a
return_container_after_addition	int	is_a
molar_amount	Quantity	is_a
mass	Quantity	is_a
max_volume	Quantity	is_a
stirring_speed	Quantity	is_a
centrifugation_speed	RotationSpeed	is_a
centrifugation_temperature	float	is_a
current_volume	Volume	is_a
chemical	Chemical	is_a
priming_volume	Quantity	is_a
has_stirbar	int	is_a
concentration	Quantity	is_a
stirring_speed	float	is_a
slot_number	int	is_a
